x,T,,,
0.00E+00,0.00E+00,,,
1.00E-03,4.12E-05,,,
2.00E-03,8.24E-05,,,
3.00E-03,1.24E-04,,,
4.00E-03,1.65E-04,,,
5.00E-03,2.06E-04,,,
6.00E-03,2.47E-04,,,
7.00E-03,2.88E-04,,,
8.00E-03,3.28E-04,,,
9.00E-03,3.69E-04,,,
1.00E-02,4.10E-04,,,
1.10E-02,4.50E-04,,,
1.20E-02,4.90E-04,,,
1.30E-02,5.31E-04,,,
1.40E-02,5.71E-04,,,
1.50E-02,6.10E-04,,,
1.60E-02,6.50E-04,,,
1.70E-02,6.90E-04,,,
1.80E-02,7.29E-04,,,
1.90E-02,7.68E-04,,,
2.00E-02,8.06E-04,,,
2.10E-02,8.45E-04,,,
2.20E-02,8.83E-04,,,
2.30E-02,9.21E-04,,,
2.40E-02,9.59E-04,,,
2.50E-02,9.96E-04,,,
2.60E-02,1.03E-03,,,
2.70E-02,1.07E-03,,,
2.80E-02,1.11E-03,,,
2.90E-02,1.14E-03,,,
3.00E-02,1.18E-03,,,
3.10E-02,1.21E-03,,,
3.20E-02,1.25E-03,,,
3.30E-02,1.28E-03,,,
3.40E-02,1.32E-03,,,
3.50E-02,1.35E-03,,,
3.60E-02,1.38E-03,,,
3.70E-02,1.42E-03,,,
3.80E-02,1.45E-03,,,
3.90E-02,1.48E-03,,,
4.00E-02,1.51E-03,,,
4.10E-02,1.54E-03,,,
4.20E-02,1.57E-03,,,
4.30E-02,1.60E-03,,,
4.40E-02,1.63E-03,,,
4.50E-02,1.66E-03,,,
4.60E-02,1.69E-03,,,
4.70E-02,1.72E-03,,,
4.80E-02,1.75E-03,,,
4.90E-02,1.78E-03,,,
5.00E-02,1.80E-03,,,
5.10E-02,1.83E-03,,,
5.20E-02,1.85E-03,,,
5.30E-02,1.88E-03,,,
5.40E-02,1.90E-03,,,
5.50E-02,1.93E-03,,,
5.60E-02,1.95E-03,,,
5.70E-02,1.97E-03,,,
5.80E-02,2.00E-03,,,
5.90E-02,2.02E-03,,,
6.00E-02,2.04E-03,,,
6.10E-02,2.06E-03,,,
6.20E-02,2.08E-03,,,
6.30E-02,2.10E-03,,,
6.40E-02,2.12E-03,,,
6.50E-02,2.14E-03,,,
6.60E-02,2.16E-03,,,
6.70E-02,2.17E-03,,,
6.80E-02,2.19E-03,,,
6.90E-02,2.21E-03,,,
7.00E-02,2.22E-03,,,
7.10E-02,2.24E-03,,,
7.20E-02,2.25E-03,,,
7.30E-02,2.26E-03,,,
7.40E-02,2.28E-03,,,
7.50E-02,2.29E-03,,,
7.60E-02,2.30E-03,,,
7.70E-02,2.31E-03,,,
7.80E-02,2.32E-03,,,
7.90E-02,2.33E-03,,,
8.00E-02,2.34E-03,,,
8.10E-02,2.35E-03,,,
8.20E-02,2.36E-03,,,
8.30E-02,2.37E-03,,,
8.40E-02,2.38E-03,,,
8.50E-02,2.38E-03,,,
8.60E-02,2.39E-03,,,
8.70E-02,2.39E-03,,,
8.80E-02,2.40E-03,,,
8.90E-02,2.40E-03,,,
9.00E-02,2.41E-03,,,
9.10E-02,2.41E-03,,,
9.20E-02,2.41E-03,,,
9.30E-02,2.42E-03,,,
9.40E-02,2.42E-03,,,
9.50E-02,2.42E-03,,,
9.60E-02,2.42E-03,,,
9.70E-02,2.42E-03,,,
9.80E-02,2.42E-03,,,
9.90E-02,2.42E-03,,,
1.00E-01,2.42E-03,,,
1.01E-01,2.42E-03,,,
1.02E-01,2.41E-03,,,
1.03E-01,2.41E-03,,,
1.04E-01,2.41E-03,,,
1.05E-01,2.40E-03,,,
1.06E-01,2.40E-03,,,
1.07E-01,2.39E-03,,,
1.08E-01,2.39E-03,,,
1.09E-01,2.38E-03,,,
1.10E-01,2.38E-03,,,
1.11E-01,2.37E-03,,,
1.12E-01,2.36E-03,,,
1.13E-01,2.36E-03,,,
1.14E-01,2.35E-03,,,
1.15E-01,2.34E-03,,,
1.16E-01,2.33E-03,,,
1.17E-01,2.32E-03,,,
1.18E-01,2.31E-03,,,
1.19E-01,2.30E-03,,,
1.20E-01,2.29E-03,,,
1.21E-01,2.28E-03,,,
1.22E-01,2.27E-03,,,
1.23E-01,2.26E-03,,,
1.24E-01,2.25E-03,,,
1.25E-01,2.24E-03,,,
1.26E-01,2.23E-03,,,
1.27E-01,2.21E-03,,,
1.28E-01,2.20E-03,,,
1.29E-01,2.19E-03,,,
1.30E-01,2.18E-03,,,
1.31E-01,2.16E-03,,,
1.32E-01,2.15E-03,,,
1.33E-01,2.13E-03,,,
1.34E-01,2.12E-03,,,
1.35E-01,2.11E-03,,,
1.36E-01,2.09E-03,,,
1.37E-01,2.08E-03,,,
1.38E-01,2.06E-03,,,
1.39E-01,2.04E-03,,,
1.40E-01,2.03E-03,,,
1.41E-01,2.01E-03,,,
1.42E-01,2.00E-03,,,
1.43E-01,1.98E-03,,,
1.44E-01,1.96E-03,,,
1.45E-01,1.95E-03,,,
1.46E-01,1.93E-03,,,
1.47E-01,1.91E-03,,,
1.48E-01,1.90E-03,,,
1.49E-01,1.88E-03,,,
1.50E-01,1.86E-03,,,
1.51E-01,1.85E-03,,,
1.52E-01,1.83E-03,,,
1.53E-01,1.81E-03,,,
1.54E-01,1.79E-03,,,
1.55E-01,1.77E-03,,,
1.56E-01,1.76E-03,,,
1.57E-01,1.74E-03,,,
1.58E-01,1.72E-03,,,
1.59E-01,1.70E-03,,,
1.60E-01,1.68E-03,,,
1.61E-01,1.67E-03,,,
1.62E-01,1.65E-03,,,
1.63E-01,1.63E-03,,,
1.64E-01,1.61E-03,,,
1.65E-01,1.59E-03,,,
1.66E-01,1.57E-03,,,
1.67E-01,1.56E-03,,,
1.68E-01,1.54E-03,,,
1.69E-01,1.52E-03,,,
1.70E-01,1.50E-03,,,
1.71E-01,1.48E-03,,,
1.72E-01,1.46E-03,,,
1.73E-01,1.45E-03,,,
1.74E-01,1.43E-03,,,
1.75E-01,1.41E-03,,,
1.76E-01,1.39E-03,,,
1.77E-01,1.37E-03,,,
1.78E-01,1.36E-03,,,
1.79E-01,1.34E-03,,,
1.80E-01,1.32E-03,,,
1.81E-01,1.30E-03,,,
1.82E-01,1.28E-03,,,
1.83E-01,1.27E-03,,,
1.84E-01,1.25E-03,,,
1.85E-01,1.23E-03,,,
1.86E-01,1.21E-03,,,
1.87E-01,1.19E-03,,,
1.88E-01,1.18E-03,,,
1.89E-01,1.16E-03,,,
1.90E-01,1.14E-03,,,
1.91E-01,1.13E-03,,,
1.92E-01,1.11E-03,,,
1.93E-01,1.09E-03,,,
1.94E-01,1.08E-03,,,
1.95E-01,1.06E-03,,,
1.96E-01,1.04E-03,,,
1.97E-01,1.03E-03,,,
1.98E-01,1.01E-03,,,
1.99E-01,9.93E-04,,,
2.00E-01,9.77E-04,,,
2.01E-01,9.62E-04,,,
2.02E-01,9.46E-04,,,
2.03E-01,9.30E-04,,,
2.04E-01,9.15E-04,,,
2.05E-01,8.99E-04,,,
2.06E-01,8.84E-04,,,
2.07E-01,8.69E-04,,,
2.08E-01,8.54E-04,,,
2.09E-01,8.39E-04,,,
2.10E-01,8.25E-04,,,
2.11E-01,8.10E-04,,,
2.12E-01,7.96E-04,,,
2.13E-01,7.82E-04,,,
2.14E-01,7.68E-04,,,
2.15E-01,7.54E-04,,,
2.16E-01,7.40E-04,,,
2.17E-01,7.27E-04,,,
2.18E-01,7.13E-04,,,
2.19E-01,7.00E-04,,,
2.20E-01,6.87E-04,,,
2.21E-01,6.74E-04,,,
2.22E-01,6.62E-04,,,
2.23E-01,6.49E-04,,,
2.24E-01,6.36E-04,,,
2.25E-01,6.24E-04,,,
2.26E-01,6.12E-04,,,
2.27E-01,6.00E-04,,,
2.28E-01,5.88E-04,,,
2.29E-01,5.77E-04,,,
2.30E-01,5.65E-04,,,
2.31E-01,5.54E-04,,,
2.32E-01,5.43E-04,,,
2.33E-01,5.32E-04,,,
2.34E-01,5.21E-04,,,
2.35E-01,5.10E-04,,,
2.36E-01,5.00E-04,,,
2.37E-01,4.89E-04,,,
2.38E-01,4.79E-04,,,
2.39E-01,4.69E-04,,,
2.40E-01,4.59E-04,,,
2.41E-01,4.49E-04,,,
2.42E-01,4.40E-04,,,
2.43E-01,4.30E-04,,,
2.44E-01,4.21E-04,,,
2.45E-01,4.12E-04,,,
2.46E-01,4.03E-04,,,
2.47E-01,3.94E-04,,,
2.48E-01,3.85E-04,,,
2.49E-01,3.77E-04,,,
2.50E-01,3.68E-04,,,
2.51E-01,3.60E-04,,,
2.52E-01,3.52E-04,,,
2.53E-01,3.44E-04,,,
2.54E-01,3.36E-04,,,
2.55E-01,3.28E-04,,,
2.56E-01,3.21E-04,,,
2.57E-01,3.13E-04,,,
2.58E-01,3.06E-04,,,
2.59E-01,2.99E-04,,,
2.60E-01,2.92E-04,,,
2.61E-01,2.85E-04,,,
2.62E-01,2.78E-04,,,
2.63E-01,2.72E-04,,,
2.64E-01,2.65E-04,,,
2.65E-01,2.59E-04,,,
2.66E-01,2.52E-04,,,
2.67E-01,2.46E-04,,,
2.68E-01,2.40E-04,,,
2.69E-01,2.34E-04,,,
2.70E-01,2.29E-04,,,
2.71E-01,2.23E-04,,,
2.72E-01,2.17E-04,,,
2.73E-01,2.12E-04,,,
2.74E-01,2.07E-04,,,
2.75E-01,2.01E-04,,,
2.76E-01,1.96E-04,,,
2.77E-01,1.91E-04,,,
2.78E-01,1.86E-04,,,
2.79E-01,1.81E-04,,,
2.80E-01,1.77E-04,,,
2.81E-01,1.72E-04,,,
2.82E-01,1.68E-04,,,
2.83E-01,1.63E-04,,,
2.84E-01,1.59E-04,,,
2.85E-01,1.55E-04,,,
2.86E-01,1.51E-04,,,
2.87E-01,1.47E-04,,,
2.88E-01,1.43E-04,,,
2.89E-01,1.39E-04,,,
2.90E-01,1.35E-04,,,
2.91E-01,1.31E-04,,,
2.92E-01,1.28E-04,,,
2.93E-01,1.24E-04,,,
2.94E-01,1.21E-04,,,
2.95E-01,1.18E-04,,,
2.96E-01,1.14E-04,,,
2.97E-01,1.11E-04,,,
2.98E-01,1.08E-04,,,
2.99E-01,1.05E-04,,,
3.00E-01,1.02E-04,,,
3.01E-01,9.92E-05,,,
3.02E-01,9.64E-05,,,
3.03E-01,9.36E-05,,,
3.04E-01,9.09E-05,,,
3.05E-01,8.83E-05,,,
3.06E-01,8.58E-05,,,
3.07E-01,8.33E-05,,,
3.08E-01,8.09E-05,,,
3.09E-01,7.85E-05,,,
3.10E-01,7.62E-05,,,
3.11E-01,7.40E-05,,,
3.12E-01,7.18E-05,,,
3.13E-01,6.96E-05,,,
3.14E-01,6.76E-05,,,
3.15E-01,6.56E-05,,,
3.16E-01,6.36E-05,,,
3.17E-01,6.17E-05,,,
3.18E-01,5.98E-05,,,
3.19E-01,5.80E-05,,,
3.20E-01,5.62E-05,,,
3.21E-01,5.45E-05,,,
3.22E-01,5.28E-05,,,
3.23E-01,5.12E-05,,,
3.24E-01,4.96E-05,,,
3.25E-01,4.81E-05,,,
3.26E-01,4.66E-05,,,
3.27E-01,4.51E-05,,,
3.28E-01,4.37E-05,,,
3.29E-01,4.23E-05,,,
3.30E-01,4.10E-05,,,
3.31E-01,3.97E-05,,,
3.32E-01,3.84E-05,,,
3.33E-01,3.72E-05,,,
3.34E-01,3.60E-05,,,
3.35E-01,3.49E-05,,,
