t,T
0.00E+00,0.00E+00
1.00E+00,0.00E+00
2.00E+00,0.00E+00
3.00E+00,4.23E-70
4.00E+00,1.16E-67
5.00E+00,1.23E-65
6.00E+00,7.61E-64
7.00E+00,3.43E-62
8.00E+00,1.21E-60
9.00E+00,3.54E-59
1.00E+01,8.73E-58
1.10E+01,1.89E-56
1.20E+01,3.61E-55
1.30E+01,6.22E-54
1.40E+01,9.76E-53
1.50E+01,1.40E-51
1.60E+01,1.85E-50
1.70E+01,2.27E-49
1.80E+01,2.59E-48
1.90E+01,2.76E-47
2.00E+01,2.75E-46
2.10E+01,2.58E-45
2.20E+01,2.28E-44
2.30E+01,1.90E-43
2.40E+01,1.50E-42
2.50E+01,1.13E-41
2.60E+01,8.02E-41
2.70E+01,5.44E-40
2.80E+01,3.51E-39
2.90E+01,2.16E-38
3.00E+01,1.28E-37
3.10E+01,7.19E-37
3.20E+01,3.88E-36
3.30E+01,2.01E-35
3.40E+01,9.99E-35
3.50E+01,4.77E-34
3.60E+01,2.19E-33
3.70E+01,9.69E-33
3.80E+01,4.13E-32
3.90E+01,1.70E-31
4.00E+01,6.72E-31
4.10E+01,2.57E-30
4.20E+01,9.52E-30
4.30E+01,3.41E-29
4.40E+01,1.18E-28
4.50E+01,3.96E-28
4.60E+01,1.29E-27
4.70E+01,4.05E-27
4.80E+01,1.24E-26
4.90E+01,3.68E-26
5.00E+01,1.06E-25
5.10E+01,2.99E-25
5.20E+01,8.16E-25
5.30E+01,2.17E-24
5.40E+01,5.62E-24
5.50E+01,1.42E-23
5.60E+01,3.50E-23
5.70E+01,8.41E-23
5.80E+01,1.97E-22
5.90E+01,4.53E-22
6.00E+01,1.02E-21
6.10E+01,2.23E-21
6.20E+01,4.80E-21
6.30E+01,1.01E-20
6.40E+01,2.09E-20
6.50E+01,4.22E-20
6.60E+01,8.39E-20
6.70E+01,1.64E-19
6.80E+01,3.13E-19
6.90E+01,5.90E-19
7.00E+01,1.09E-18
7.10E+01,1.99E-18
7.20E+01,3.57E-18
7.30E+01,6.30E-18
7.40E+01,1.10E-17
7.50E+01,1.88E-17
7.60E+01,3.18E-17
7.70E+01,5.31E-17
7.80E+01,8.75E-17
7.90E+01,1.42E-16
8.00E+01,2.29E-16
8.10E+01,3.63E-16
8.20E+01,5.71E-16
8.30E+01,8.87E-16
8.40E+01,1.36E-15
8.50E+01,2.07E-15
8.60E+01,3.12E-15
8.70E+01,4.65E-15
8.80E+01,6.87E-15
8.90E+01,1.01E-14
9.00E+01,1.46E-14
9.10E+01,2.10E-14
9.20E+01,3.00E-14
9.30E+01,4.24E-14
9.40E+01,5.96E-14
9.50E+01,8.30E-14
