D,T
-9.955,11.4816
-10.955,11.3472
-11.955,11.3588
-12.955,11.3861
-13.955,11.4216
-14.955,11.4768
-15.955,11.5158
-16.955,11.5183
-17.955,11.5175
-18.955,11.5144
-19.955,11.5167
-20.955,11.515
-21.955,11.5166
-22.955,11.5176
-23.955,11.5201
-24.955,11.5171
-25.955,11.52
-26.955,11.5183
-27.955,11.512
-28.955,11.512
-29.955,11.508
-30.955,11.51
-31.955,11.5066
-32.955,11.5071
-33.955,11.5083
-34.955,11.5065
-35.955,11.502
-36.955,11.505
-37.955,11.499
-38.955,11.504
-39.955,11.4989
-40.955,11.4959
-41.955,11.5018
-42.955,11.4959
-43.955,11.4972
-44.955,11.498
-45.955,11.4983
-46.955,11.4978
-47.955,11.4987
-48.955,11.4989
-49.955,11.497
-50.955,11.4985
-51.955,11.4999
-52.955,11.4996
-53.955,11.5001
-54.955,11.4999
-55.955,11.5004
-56.955,11.5022
-57.955,11.4989
-58.955,11.4981
-59.955,11.5007
-60.955,11.504
-61.955,11.4991
-62.955,11.5058
-63.955,11.5034
-64.955,11.5033
-65.955,11.5032
-66.955,11.5037
-67.955,11.5059
-68.955,11.5066
-69.955,11.5125
-70.955,11.6038
-71.955,11.7161
-72.955,11.7725
-73.955,11.8147
-74.955,11.8571
-75.955,11.9025
-76.955,11.9415
-77.955,11.9662
-78.955,11.9942
-79.955,12.0086
-80.955,12.0296
-81.955,12.0507
-82.955,12.0704
-83.955,12.0842
-84.955,12.1023
-85.955,12.1162
-86.955,12.1294
-87.955,12.142
-88.955,12.1573
-89.955,12.1711
-90.955,12.1836
-91.955,12.2058
-92.955,12.2252
-93.955,12.2453
-94.955,12.2632
-95.955,12.2678
-96.955,12.289
-97.955,12.3126
-98.955,12.3295
-99.955,12.3523
-100.955,12.3724
-101.955,12.394
-102.955,12.4113
-103.955,12.4417
-104.955,12.4759
-105.955,12.515
-106.955,12.5642
-107.955,12.5993
-108.955,12.6491
-109.955,12.688
-110.955,12.731
-111.955,12.7617
-112.955,12.8146
-113.955,12.8488
-114.955,12.9108
-115.955,12.9499
-116.955,12.9835
-117.955,13.0097
-118.955,13.0254
-119.955,13.0362
-120.955,13.0516
-121.955,13.0608
-122.955,13.0759
-123.955,13.094
-124.955,13.1265
-125.955,13.174
-126.955,13.2041
-127.955,13.2412
-128.955,13.2793
-129.955,13.3247
-130.955,13.3574
-131.955,13.3863
-132.955,13.4217
-133.955,13.477
-134.955,13.5189
-135.955,13.5558
-136.955,13.6208
-137.955,13.7309
-138.955,13.8708
-139.955,14.0332
-140.955,14.2455
-141.955,14.4456
-142.955,14.7302
-143.955,15.1862
-144.955,15.8147
-145.955,15.9175
-146.955,15.9261
-147.955,15.9351
-148.955,15.9317
-149.955,15.9329
-150.955,15.9362
-151.955,15.9392
-152.955,15.9397
-153.955,15.9426
-154.955,15.9456
-155.955,15.9447
-156.955,15.9509
-157.955,15.9539
-158.955,15.9518
-159.955,15.9542
-160.955,15.9625
-161.955,15.962
-162.955,15.9633
-163.955,15.9667
-164.955,15.9678
-165.955,15.9657
-166.955,15.9695
-167.955,15.9754
-168.955,15.9784
-169.955,15.9806
-170.955,15.981
-171.955,15.9843
-172.955,15.9871
-173.955,15.987
-174.955,15.9899
-175.955,15.993
-176.955,15.9933
-177.955,15.9958
-178.955,15.9951
-179.955,15.9977
-180.955,15.9997
-181.955,16.0011
-182.955,16.0056
-183.955,16.0003
-184.955,16.0021
-185.955,16.0026
-186.955,16.0065
-187.955,15.9998
-188.955,16.0047
-189.955,16.0033
-190.955,16.0051
-191.955,16.0088
-192.955,16.0044
-193.955,16.0124
-194.955,16.0086
-195.955,16.0103
-196.955,16.0116
-197.955,16.0126
-198.955,16.0171
-199.955,16.0147
-200.955,16.02
-201.955,16.0186
-202.955,16.0265
-203.955,16.0226
-204.955,16.024
-205.955,16.0252
-206.955,16.0251
-207.955,16.0227
-208.955,16.0247
-209.955,16.026
-210.955,16.0232
-211.955,16.0289
-212.955,16.0272
-213.955,16.0257
-214.955,16.0278
-215.955,16.0319
-216.955,16.028
-217.955,16.0321
-218.955,16.0298
-219.955,16.0259
-220.955,16.0309
-221.955,16.0296
-222.955,16.0286
-223.955,16.0274
-224.955,16.0307
-225.955,16.0297
-226.955,16.0293
-227.955,16.0314
-228.955,16.033
-229.955,16.0324
-230.955,16.0283
-231.955,16.0309
-232.955,16.029
-233.955,16.0291
-234.955,16.0365
-235.955,16.0329
-236.955,16.0292
-237.955,16.0333
-238.955,16.0321
-239.955,16.0303
-240.955,16.0298
-241.955,16.0335
-242.955,16.0335
-243.955,16.0399
-244.955,16.0357
-245.955,16.0343
-246.955,16.0318
-247.955,16.0292
-248.955,16.0259
-249.955,16.0232
-250.955,16.0213
-251.955,16.019
-252.955,16.0176
-253.955,16.0245
-254.955,16.0235
-255.955,16.0254
-256.955,16.032
-257.955,16.0409
-258.955,16.0463
-259.955,16.0564
-260.955,16.0613
-261.955,16.0682
-262.955,16.0718
-263.955,16.079
-264.955,16.1004
-265.955,16.1295
-266.955,16.1419
-267.955,16.1502
-268.955,16.1673
-269.955,16.1911
-270.955,16.2033
-271.955,16.2163
-272.955,16.2369
-273.955,16.2481
-274.955,16.2499
-275.955,16.2616
-276.955,16.2729
-277.955,16.3065
-278.955,16.3305
-279.955,16.3491
-280.955,16.3635
-281.955,16.3736
-282.955,16.3923
-283.955,16.4102
-284.955,16.4281
-285.955,16.4545
-286.955,16.4906
-287.955,16.5366
-288.955,16.5741
-289.955,16.6002
-290.955,16.636
-291.955,16.6659
-292.955,16.6886
-293.955,16.7131
-294.955,16.7506
-295.955,16.8015
-296.955,16.8857
-297.955,17.0036
-298.955,17.0712
-299.955,17.0711
-300.955,17.0729
-301.955,17.0756
-302.955,17.0787
-303.955,17.0787
-304.955,17.0773
-305.955,17.0794
-306.955,17.1767
-307.955,17.3005
-308.955,17.3835
-309.955,17.4687
-310.955,17.5498
-311.955,17.62
-312.955,17.6648
-313.955,17.7463
-314.955,17.8783
-315.955,17.9691
-316.955,18.0786
-317.955,18.221
-318.955,18.408
-319.955,18.5103
-320.955,18.5102
-321.955,18.7328
-322.955,19.3017
-323.955,19.3418
-324.955,19.3321
-325.955,19.3276
-326.955,19.3309
-327.955,19.3281
-328.955,19.3265
-329.955,19.3241
-330.955,19.3213
-331.955,19.3345
-332.955,19.3273
-333.955,19.324
-334.955,19.326
-335.955,19.3316
-336.955,19.3234
-337.955,19.3226
-338.955,19.3285
-339.955,19.3309
-340.955,19.3241
-341.955,19.3268
-342.955,19.3237
-343.955,19.324
-344.955,19.3211
-345.955,19.325
-346.955,19.325
-347.955,19.3258
-348.955,19.3238
-349.955,19.3237
-350.955,19.3243
-351.955,19.3267
-352.955,19.324
-353.955,19.3194
-354.955,19.3205
-355.955,19.3281
-356.955,19.3327
-357.955,19.3335
-358.955,19.3319
-359.955,19.3426
-360.955,19.3363
-361.955,19.3387
-362.955,19.3414
-363.955,19.3445
-364.955,19.3351
-365.955,19.3414
-366.955,19.3448
-367.955,19.3394
-368.955,19.3398
-369.955,19.3444
-370.955,19.3434
-371.955,19.3449
-372.955,19.3454
-373.955,19.3531
-374.955,19.3557
-375.955,19.3472
-376.955,19.3522
-377.955,19.3557
-378.955,19.3529
-379.955,19.3595
-380.955,19.3578
-381.955,19.362
-382.955,19.3627
-383.955,19.3604
-384.955,19.3635
-385.955,19.3645
-386.955,19.3669
-387.955,19.3727
-388.955,19.3772
-389.955,19.3791
-390.955,19.6099
-391.955,21.2889
-392.955,21.3992
-393.955,21.4019
-394.955,21.4102
-395.955,21.4108
-396.955,21.4095
-397.955,21.4142
-398.955,21.4107
-399.955,21.4169
-400.955,21.4167
-401.955,21.4185
-402.955,21.4181
-403.955,21.4747
-404.955,21.5231
-405.955,21.5043
-406.955,21.4949
-407.955,21.5001
-408.955,21.5218
-409.955,21.5957
-410.955,21.6282
-411.955,21.6501
-412.955,21.6629
-413.955,21.6884
-414.955,21.7047
-415.955,21.7242
-416.955,21.7432
-417.955,21.7612
-418.955,21.7795
-419.955,21.7999
-420.955,21.8387
-421.955,21.8811
-422.955,21.9221
-423.955,21.9688
-424.955,22.039
-425.955,22.0858
-426.955,22.0843
-427.955,22.0864
-428.955,22.0828
-429.955,22.084
-430.955,22.0858
-431.955,22.0894
-432.955,22.0874
-433.955,22.0859
-434.955,22.0896
-435.955,22.087
-436.955,22.0875
-437.955,22.0844
-438.955,22.0867
-439.955,22.0857
-440.955,22.0897
-441.955,22.1749
-442.955,22.4949
-443.955,22.6958
-444.955,22.6975
-445.955,22.7013
-446.955,22.7057
-447.955,22.7102
-448.955,22.7041
-449.955,22.704
-450.955,22.7294
-451.955,22.9191
-452.955,23.0112
-453.955,23.0491
-454.955,23.0607
-455.955,23.0609
-456.955,23.0662
-457.955,23.0679
-458.955,23.0636
-459.955,23.0648
-460.955,23.0667
-461.955,23.074
-462.955,23.0734
-463.955,23.0733
-464.955,23.0769
-465.955,23.0805
-466.955,23.0853
-467.955,23.0867
-468.955,23.0908
-469.955,23.0898
-470.955,23.087
-471.955,23.0957
-472.955,23.0995
-473.955,23.0977
-474.955,23.0988
-475.955,23.0975
-476.955,23.1002
-477.955,23.1015
-478.955,23.0974
-479.955,23.1
-480.955,23.1057
-481.955,23.1013
-482.955,23.1036
-483.8525,23.1005
