D,T
-13.585,12.2298
-14.585,12.2228
-15.585,11.8865
-16.585,11.4343
-17.585,11.4216
-18.585,11.4235
-19.585,11.4182
-20.585,11.4159
-21.585,11.4171
-22.585,11.4154
-23.585,11.4187
-24.585,11.4429
-25.585,11.4414
-26.585,11.4437
-27.585,11.446
-28.585,11.443
-29.585,11.4466
-30.585,11.4462
-31.585,11.4423
-32.585,11.4448
-33.585,11.4456
-34.585,11.4431
-35.585,11.5047
-36.585,11.5461
-37.585,11.5453
-38.585,11.5442
-39.585,11.5874
-40.585,11.648
-41.585,11.65
-42.585,11.6534
-43.585,11.6507
-44.585,11.6506
-45.585,11.6532
-46.585,11.6557
-47.585,11.6511
-48.585,11.6518
-49.585,11.652
-50.585,11.6543
-51.585,11.6526
-52.585,11.6489
-53.585,11.6535
-54.585,11.658
-55.585,11.654
-56.585,11.6511
-57.585,11.657
-58.585,11.6537
-59.585,11.6522
-60.585,11.6555
-61.585,11.6523
-62.585,11.6536
-63.585,11.6534
-64.585,11.6508
-65.585,11.6528
-66.585,11.6539
-67.585,11.6592
-68.585,11.7094
-69.585,11.7509
-70.585,11.785
-71.585,11.8034
-72.585,11.8172
-73.585,11.839
-74.585,11.8615
-75.585,11.89
-76.585,11.9153
-77.585,11.9389
-78.585,11.9593
-79.585,11.9878
-80.585,12.0278
-81.585,12.082
-82.585,12.0873
-83.585,12.0925
-84.585,12.0903
-85.585,12.0902
-86.585,12.0906
-87.585,12.0911
-88.585,12.0887
-89.585,12.0903
-90.585,12.0923
-91.585,12.0933
-92.585,12.0961
-93.585,12.093
-94.585,12.091
-95.585,12.0924
-96.585,12.0907
-97.585,12.0941
-98.585,12.0901
-99.585,12.0927
-100.585,12.0932
-101.585,12.0943
-102.585,12.095
-103.585,12.0948
-104.585,12.0935
-105.585,12.0946
-106.585,12.0923
-107.585,12.0933
-108.585,12.0942
-109.585,12.0937
-110.585,12.0939
-111.585,12.0933
-112.585,12.0958
-113.585,12.0974
-114.585,12.1366
-115.585,12.1893
-116.585,12.2424
-117.585,12.2839
-118.585,12.332
-119.585,12.3947
-120.585,12.4562
-121.585,12.5343
-122.585,12.6165
-123.585,12.6728
-124.585,12.7256
-125.585,12.7805
-126.585,12.8717
-127.585,12.9707
-128.585,13.0467
-129.585,13.1447
-130.585,13.2507
-131.585,13.3626
-132.585,13.4972
-133.585,13.6443
-134.585,13.8263
-135.585,13.9466
-136.585,14.1881
-137.585,14.2503
-138.585,14.2518
-139.585,14.2532
-140.585,14.2535
-141.585,14.2548
-142.585,14.2581
-143.585,14.2593
-144.585,14.2618
-145.585,14.511
-146.585,14.9818
-147.585,15.5147
-148.585,16.0368
-149.585,16.6682
-150.585,16.9236
-151.585,16.9343
-152.585,16.9373
-153.585,16.9463
-154.585,16.9483
