D,T
-32.3,12.43
-33.3,12.292
-34.3,12.187
-35.3,12.153
-36.3,12.125
-37.3,12.108
-38.3,12.094
-39.3,12.065
-40.3,12.043
-41.3,12.036
-42.3,12.007
-43.3,11.992
-44.3,11.984
-45.3,11.971
-46.3,11.951
-47.3,11.941
-48.3,11.932
-49.3,11.92
-50.3,11.913
-51.3,11.901
-52.3,11.888
-53.3,11.882
-54.3,11.876
-55.3,11.871
-56.3,11.866
-57.3,11.861
-58.3,11.861
-59.3,11.852
-60.3,11.854
-61.3,11.856
-62.3,11.854
-63.3,11.858
-64.3,11.853
-65.3,11.852
-66.3,11.852
-67.3,11.85
-68.3,11.85
-69.3,11.853
-70.3,11.856
-71.3,11.849
-72.3,11.855
-73.3,11.852
-74.3,11.854
-75.3,11.861
-76.3,11.861
-77.3,11.858
-78.3,11.864
-79.3,11.857
-80.3,11.857
-81.3,11.858
-82.3,11.859
-83.3,11.859
-84.3,11.861
-85.3,11.861
-86.3,11.862
-87.3,11.862
-88.3,11.863
-89.3,11.862
-90.3,11.865
-91.3,11.868
-92.3,11.871
-93.3,11.87
-94.3,11.866
-95.3,11.87
-96.3,11.867
-97.3,11.872
-98.3,11.873
-99.3,11.875
-100.3,11.871
-101.3,11.875
-102.3,11.873
-103.3,11.873
-104.3,11.877
-105.3,11.872
-106.3,11.878
-107.3,11.877
-108.3,11.879
-109.3,11.873
-110.3,11.876
-111.3,11.879
-112.3,11.878
-113.3,11.879
-114.3,11.879
-115.3,11.882
-116.3,11.884
-117.3,11.884
-118.3,11.882
-119.3,11.876
-120.3,11.886
-121.3,11.881
-122.3,11.931
-123.3,12.161
-124.3,12.429
-125.3,13.018
-126.3,13.563
-127.3,14.058
-128.3,14.109
-129.3,14.134
-130.3,14.146
-131.3,14.162
-132.3,14.171
-133.3,14.196
-134.3,14.201
-135.3,14.217
-136.3,14.227
-137.3,14.252
-138.3,14.269
-139.3,14.262
-140.3,14.269
-141.3,14.286
-142.3,14.292
-143.3,14.291
-144.3,14.294
-145.3,14.304
-146.3,14.299
-147.3,14.301
-148.3,14.304
-149.3,14.301
-150.3,14.306
-151.3,14.393
-152.3,14.83
-153.3,15.535
-154.3,15.971
-155.3,16.103
-156.3,16.145
-157.3,16.168
-158.3,16.185
-159.3,16.199
-160.3,16.215
-161.3,16.542
-162.3,17.143
-163.3,17.211
-164.3,17.233
-165.3,17.253
-166.3,17.273
-167.3,17.288
-168.3,17.308
-169.3,17.325
-170.3,17.333
-171.3,17.34
-172.3,17.352
-173.3,17.366
-174.3,17.37
-175.3,17.375
-176.3,17.382
-177.3,17.387
-178.3,17.393
-179.3,17.397
-180.3,17.402
-181.3,17.402
-182.3,17.411
-183.3,17.411
-184.3,17.414
-185.3,17.412
-186.3,17.414
-187.3,17.416
-188.3,17.418
-189.3,17.418
-190.3,17.42
-191.3,17.426
-192.3,17.429
-193.3,17.431
-194.3,17.431
-195.3,17.43
-196.3,17.437
-197.3,17.437
-198.3,17.434
-199.3,17.441
-200.3,17.441
-201.3,17.441
-202.3,17.44
-203.3,17.44
-204.3,17.446
-205.3,17.445
-206.3,17.447
-207.3,17.504
-208.3,17.535
-209.3,17.509
-210.3,17.491
-211.3,17.485
-212.3,17.485
-213.3,17.493
-214.3,17.508
-215.3,17.532
-216.3,17.545
-217.3,17.554
-218.3,17.555
-219.3,17.563
-220.3,17.56
-221.3,17.57
-222.3,17.57
-223.3,17.574
-224.3,17.581
-225.3,17.583
-226.3,17.582
-227.3,17.581
-228.3,17.587
-229.3,17.591
-230.3,17.591
-231.3,17.592
-232.3,17.595
-233.3,17.601
-234.3,17.597
-235.3,17.6
-236.3,17.599
-237.3,17.599
-238.3,17.602
-239.3,17.604
-240.3,17.606
-241.3,17.606
-242.3,17.612
-243.3,17.611
-244.3,17.616
-245.3,17.617
-246.3,17.619
-247.3,17.622
-248.3,17.625
-249.3,17.626
-250.3,17.628
-251.3,17.635
-252.3,17.634
-253.3,17.639
-254.3,17.642
-255.3,17.64
-256.3,17.645
-257.3,17.653
-258.3,17.654
-259.3,17.657
-260.3,17.656
-261.3,17.662
-262.3,17.67
-263.3,17.67
-264.3,17.676
-265.3,17.683
-266.3,17.681
-267.3,17.688
-268.3,17.694
-269.3,17.699
-270.3,17.706
-271.3,17.71
-272.3,17.715
-273.3,17.717
-274.3,17.723
-275.3,17.734
-276.3,17.734
-277.3,17.741
-278.3,17.752
-279.3,17.752
-280.3,17.761
-281.3,17.768
-282.3,17.775
-283.3,17.787
-284.3,17.787
-285.3,17.797
-286.3,17.807
-287.3,17.82
-288.3,17.841
-289.3,17.877
-290.3,17.917
-291.3,17.974
-292.3,17.998
-293.3,18.064
-294.3,18.114
-295.3,18.128
-296.3,18.57
-297.3,18.79
-298.3,18.815
-299.3,18.784
-300.3,18.771
-301.3,18.782
-302.3,18.803
-303.3,18.815
-304.3,18.817
-304.9,18.81
