D,T
-16.44,12.97111111
-17.44,13.085
-18.44,13.078
-19.44,13.068
-20.44,13.063
-21.44,13.07
-22.44,13.058
-23.44,13.047
-24.44,13.049
-25.44,13.056
-26.44,13.055
-27.44,13.052
-28.44,13.051
-29.44,13.059
-30.44,13.373
-31.44,13.48
-32.44,13.474
-33.44,13.472
-34.44,13.473
-35.44,13.472
-36.44,13.469
-37.44,13.468
-38.44,13.471
-39.44,13.473
-40.44,13.468
-41.44,13.474
-42.44,13.472
-43.44,13.478
-44.44,13.477
-45.44,13.479
-46.44,13.483
-47.44,13.482
-48.44,13.483
-49.44,13.481
-50.44,13.491
-51.44,13.485
-52.44,13.486
-53.44,13.487
-54.44,13.481
-55.44,13.48
-56.44,13.488
-57.44,13.486
-58.44,13.487
-59.44,13.481
-60.44,13.483
-61.44,13.486
-62.44,13.485
-63.44,13.484
-64.44,13.489
-65.44,13.485
-66.44,13.484
-67.44,13.493
-68.44,13.49
-69.44,13.491
-70.44,13.49
-71.44,13.49
-72.44,13.491
-73.44,13.489
-74.44,13.488
-75.44,13.489
-76.44,13.493
-77.44,13.495
-78.44,13.492
-79.44,13.494
-80.44,13.491
-81.44,13.488
-82.44,13.491
-83.44,13.493
-84.44,13.489
-85.44,13.489
-86.44,13.493
-87.44,13.49
-88.44,13.489
-89.44,13.493
-90.44,13.496
-91.44,13.494
-92.44,13.494
-93.44,13.497
-94.44,13.493
-95.44,13.499
-96.44,13.496
-97.44,13.497
-98.44,13.498
-99.44,13.497
-100.44,13.493
-101.44,13.491
-102.44,13.492
-103.44,13.493
-104.44,13.489
-105.44,13.49
-106.44,13.489
-107.44,13.439
-108.44,13.469
-109.44,13.474
-110.44,13.47
-111.44,13.416
-112.44,13.403
-113.44,13.41
-114.44,13.445
-115.44,13.469
-116.44,13.46
-117.44,13.437
-118.44,13.433
-119.44,13.464
-120.44,13.465
-121.44,13.476
-122.44,13.487
-123.44,13.496
-124.44,13.509
-125.44,13.506
-126.44,13.501
-127.44,13.506
-128.44,13.504
-129.44,13.505
-130.44,13.521
-131.44,13.527
-132.44,13.524
-133.44,13.525
-134.44,13.521
-135.44,13.525
-136.44,13.529
-137.44,13.545
-138.44,13.544
-139.44,13.545
-140.44,13.545
-141.44,13.54
-142.44,13.54
-143.44,13.544
-144.44,13.555
-145.44,13.56
-146.44,13.556
-147.44,13.559
-148.44,13.559
-149.44,13.563
-150.44,13.558
-151.44,13.558
-152.44,13.557
-153.44,13.566
-154.44,13.572
-155.44,13.575
-156.44,13.579
-157.44,13.574
-158.44,13.576
-159.44,13.577
-160.44,13.582
-161.44,13.756
-162.44,13.971
-163.44,13.986
-164.44,14.019
-165.44,14.045
-166.44,14.063
-167.44,14.075
-168.44,14.096
-169.44,14.116
-170.44,14.126
-171.44,14.154
-172.44,14.165
-173.44,14.17
-174.44,14.18
-175.44,14.183
-176.44,14.193
-177.44,14.23
-178.44,14.268
-179.44,14.526
-180.44,14.934
-181.44,15.003
-182.44,15.023
-183.44,15.025
-184.44,15.031
-185.44,15.029
-186.44,15.034
-187.44,15.035
-188.44,15.032
-189.44,15.028
-190.44,15.033
-191.44,15.033
-192.44,15.044
-193.44,15.048
-194.44,15.049
-195.44,15.048
-196.44,15.052
-197.44,15.05
-198.44,15.051
-199.44,15.141
-200.44,15.362
-201.44,15.64
-202.44,15.923
-203.44,16.242
-204.44,16.329
-205.44,16.35
-206.44,16.362
-207.44,16.364
-208.44,16.363
-209.44,16.369
-210.44,16.36
-211.44,16.366
-212.44,16.374
-213.44,16.405
-214.44,16.427
-215.44,16.451
-216.44,16.449
-217.44,16.444
-218.44,16.445
-219.44,16.451
-220.44,16.446
-221.44,16.449
-222.44,16.456
-223.44,16.45
-224.44,16.453
-225.44,16.452
-226.44,16.456
-227.44,16.452
-228.44,16.456
-229.44,16.453
-230.44,16.45
-231.44,16.448
-232.44,16.446
-233.44,16.444
-234.44,16.441
-235.44,16.445
-236.44,16.444
-237.44,16.436
-238.44,16.44
-239.44,16.436
-240.44,16.437
-241.44,16.438
-242.44,16.438
-243.44,16.442
-244.44,16.443
-245.44,16.445
-246.44,16.442
-247.44,16.444
-248.44,16.446
-249.44,16.443
-250.44,16.44
-251.44,16.439
-252.44,16.445
-253.44,16.441
-254.44,16.441
-255.44,16.438
-256.44,16.444
-257.44,16.443
-258.44,16.442
-259.44,16.44
-260.44,16.445
-261.44,16.441
-262.44,16.44
-263.44,16.441
-264.44,16.443
-265.44,16.441
-266.44,16.44
-267.44,16.438
-268.44,15.915
-269.44,15.622
-270.44,15.62
-271.44,15.615
-272.44,15.614
-273.44,15.614
-274.44,15.615
-275.44,15.613
-276.44,15.615
-277.44,15.61
-278.44,15.611
-279.44,15.611
-280.44,15.61
-281.44,15.612
-282.44,15.61
-283.44,15.611
-284.44,15.614
-285.44,15.612
-286.44,15.612
-287.44,15.609
-288.44,15.607
-289.44,15.609
-290.44,15.608
-291.44,15.662
-292.44,15.767
-293.44,15.878
-294.44,16.028
-295.44,16.12
-296.44,16.207
-297.44,16.334
-298.44,16.486
-299.44,16.646
-300.44,16.775
-301.44,16.915
-302.44,17.264
-303.44,17.362
-304.44,17.362
-305.44,17.439
-306.44,17.53
-307.44,17.572
-308.44,17.613
-309.44,17.617
-310.44,17.63
-311.44,17.635
-312.44,17.646
-313.44,17.745
-314.44,17.902
-315.44,18.211
-316.34,18.16625
