D,T
-16.94,13.869
-17.94,14.241
-18.94,14.223
-19.94,14.252
-20.94,14.26
-21.94,14.263
-22.94,14.252
-23.94,14.241
-24.94,14.211
-25.94,14.18
-26.94,14.22
-27.94,14.235
-28.94,14.261
-29.94,14.724
-30.94,15.03
-31.94,15.032
-32.94,15.034
-33.94,15.038
-34.94,15.041
-35.94,15.046
-36.94,15.05
-37.94,15.046
-38.94,15.038
-39.94,15.044
-40.94,15.045
-41.94,15.049
-42.94,15.049
-43.94,15.042
-44.94,15.038
-45.94,15.036
-46.94,15.033
-47.94,15.038
-48.94,15.044
-49.94,15.045
-50.94,15.045
-51.94,15.047
-52.94,15.045
-53.94,15.054
-54.94,15.059
-55.94,15.056
-56.94,15.06
-57.94,15.055
-58.94,15.062
-59.94,15.064
-60.94,15.059
-61.94,15.062
-62.94,15.124
-63.94,15.132
-64.94,15.128
-65.94,15.131
-66.94,15.156
-67.94,15.173
-68.94,15.171
-69.94,15.171
-70.94,15.17
-71.94,15.178
-72.94,15.178
-73.94,15.176
-74.94,15.178
-75.94,15.181
-76.94,15.177
-77.94,15.182
-78.94,15.184
-79.94,15.183
-80.94,15.184
-81.94,15.184
-82.94,15.186
-83.94,15.185
-84.94,15.184
-85.94,15.187
-86.94,15.188
-87.94,15.189
-88.94,15.186
-89.94,15.188
-90.94,15.187
-91.94,15.185
-92.94,15.189
-93.94,15.184
-94.94,15.183
-95.94,15.183
-96.94,15.184
-97.94,15.187
-98.94,15.184
-99.94,15.183
-100.94,15.185
-101.94,15.21
-102.94,15.229
-103.94,15.266
-104.94,15.312
-105.94,15.426
-106.94,15.428
-107.94,15.438
-108.94,15.447
-109.94,15.456
-110.94,15.454
-111.94,15.622
-112.94,15.648
-113.94,15.662
-114.94,15.664
-115.94,15.664
-116.94,15.668
-117.94,15.665
-118.94,15.665
-119.94,15.662
-120.94,15.666
-121.94,15.667
-122.94,15.67
-123.94,15.667
-124.94,15.665
-125.94,15.662
-126.94,15.664
-127.94,15.666
-128.94,15.665
-129.94,15.666
-130.94,15.665
-131.94,15.665
-132.94,15.663
-133.94,15.667
-134.94,15.666
-135.94,15.665
-136.94,15.664
-137.94,15.665
-138.94,15.666
-139.94,15.663
-140.94,15.661
-141.94,15.665
-142.94,15.661
-143.94,15.665
-144.94,15.659
-145.94,15.658
-146.94,15.67
-147.94,15.666
-148.94,15.671
-149.94,15.685
-150.94,15.689
-151.94,15.695
-152.94,15.708
-153.94,15.718
-154.94,15.729
-155.94,15.748
-156.94,15.75
-157.94,15.767
-158.94,15.774
-159.94,15.778
-160.94,15.783
-161.94,15.792
-162.94,15.804
-163.94,15.813
-164.94,15.821
-165.94,15.828
-166.94,15.839
-167.94,15.844
-168.94,15.862
-169.94,15.873
-170.94,15.878
-171.94,15.881
-172.94,15.887
-173.94,15.897
-174.94,15.913
-175.94,15.922
-176.94,15.968
-177.94,16.062
-178.94,16.453
-179.94,16.58
-180.94,16.585
-181.94,16.591
-182.94,16.59
-183.94,16.6
-184.94,16.598
-185.94,16.603
-186.94,16.6
-187.94,16.6
-188.94,16.597
-189.94,16.607
-190.94,16.609
-191.94,16.609
-192.94,16.606
-193.94,16.611
-194.94,16.613
-195.94,16.615
-196.94,16.629
-197.94,16.665
-198.94,16.955
-199.94,16.777
-200.94,16.511
-201.94,16.926
-202.94,16.944
-203.94,16.942
-204.94,16.946
-205.94,16.949
-206.94,16.949
-207.94,16.949
-208.94,16.952
-209.94,16.952
-210.94,16.953
-211.94,16.95
-212.94,16.952
-213.94,16.95
-214.94,16.949
-215.94,16.953
-216.94,16.953
-217.94,16.95
-218.94,16.957
-219.94,16.956
-220.94,16.952
-221.94,16.958
-222.94,16.957
-223.94,16.957
-224.94,16.953
-225.94,16.958
-226.94,16.956
-227.94,16.955
-228.94,16.956
-229.94,16.957
-230.94,16.959
-231.94,16.958
-232.94,16.959
-233.94,16.958
-234.94,16.961
-235.94,16.958
-236.94,16.96
-237.94,16.958
-238.94,16.962
-239.94,16.96
-240.94,16.96
-241.94,16.961
-242.94,16.963
-243.94,16.963
-244.94,16.968
-245.94,16.96
-246.94,16.964
-247.94,16.967
-248.94,16.968
-249.94,16.962
-250.94,16.959
-251.94,16.961
-252.94,16.967
-253.94,16.962
-254.94,16.963
-255.94,16.962
-256.94,16.962
-257.94,16.961
-258.94,16.964
-259.94,16.962
-260.94,16.955
-261.94,16.738
-262.94,16.589
-263.94,16.54
-264.94,16.486
-265.94,16.398
-266.94,16.39
-267.94,16.523
-268.94,16.542
-269.94,16.549
-270.94,16.547
-271.94,16.544
-272.94,16.548
-273.94,16.546
-274.94,16.548
-275.94,16.548
-276.94,16.546
-277.94,16.545
-278.94,16.547
-279.94,16.547
-280.94,16.543
-281.94,16.543
-282.94,16.546
-283.94,16.544
-284.94,16.548
-285.94,16.546
-286.94,16.544
-287.94,16.323
-288.94,16.076
-289.94,16.053
-290.94,16.074
-291.94,16.115
-292.94,16.186
-293.94,16.281
-294.94,16.378
-295.94,16.501
-296.94,16.664
-297.94,16.763
-298.94,16.859
-299.94,16.936
-300.94,16.968
-301.94,16.967
-302.94,16.953
-303.94,16.959
-304.94,16.972
-305.94,16.963
-306.94,16.938
-307.94,16.934
-308.94,16.966
-309.94,16.987
-310.94,16.988
-311.94,16.987
-312.94,16.981
-313.59,16.98
